id,url
HwcKbzbiPkAAAAFMwrMfToSz,https://fr.wikipedia.org/wiki/R%C3%A9publique_romaine
vFAKbzbiobcAAAFM8lAfToeh,https://fr.wikipedia.org/wiki/Second_Empire
mw4KbzbiyogAAAFMVhlY_tJD,https://fr.wikipedia.org/wiki/Malaisie
fqYKbzbi6MsAAAFMvZVRksG6,https://fr.wikipedia.org/wiki/Sarawak
31gKbzbiJCMAAAFMj94VZu5Q,https://fr.wikipedia.org/wiki/F%C3%A9d%C3%A9ration_de_Malaisie
km8KbzbiuxsAAAFM6uQfTpge,https://fr.wikipedia.org/wiki/%C3%89tats_malais_f%C3%A9d%C3%A9r%C3%A9s
DjIKbzbiLL4AAAFN_oex3S18,https://fr.wikipedia.org/wiki/Union_malaise
0acKbzbiA1oAAAFM1W8fToaQ,"https://fr.wikipedia.org/wiki/Ordre_souverain_militaire_hospitalier_de_Saint-Jean_de_J%C3%A9rusalem,_de_Rhodes_et_de_Malte"
RjIKbzbiqnsAAAFMIZ1Rkrjc,https://fr.wikipedia.org/wiki/Khanat_de_Crim%C3%A9e
AS0KbzbiFUgAAAFMMyofTpS.,https://fr.wikipedia.org/wiki/Horde_d%27Or
jJAKbzbiDAgAAAFMLVUfTpTH,https://fr.wikipedia.org/wiki/%C3%8Ele_de_Man
CcMKbzbiHCEAAAFMN38fToh0,https://fr.wikipedia.org/wiki/Zimbabwe
Mf4Kbzbiuq0AAAFMu00fToS1,https://fr.wikipedia.org/wiki/Travancore
WgcKbzbi5.oAAAFM7xpRkrYp,https://fr.wikipedia.org/wiki/Brunei
1_gKbzbix1cAAAFMNVAVZu9H,https://fr.wikipedia.org/wiki/Born%C3%A9o_du_Nord
90UKbzbiUr0AAAFMVw8fTp7t,https://fr.wikipedia.org/wiki/Empire_du_Japon
qB8Kbzbi2QAAAAFMSscVZu1.,https://fr.wikipedia.org/wiki/Shogunat_Tokugawa
LBAKbzbiwdgAAAFMC2Px3YA5,https://fr.wikipedia.org/wiki/Autriche-Hongrie
GI0KbzbiE8wAAAFM8g3x3YC.,https://fr.wikipedia.org/wiki/Irlande_(pays)
pccKbzbictAAAAFM_YRRkrE.,https://fr.wikipedia.org/wiki/R%C3%A9publique_d%C3%A9mocratique_d%27Afghanistan
t4MKbzbi_YYAAAFMoKgfToka,https://fr.wikipedia.org/wiki/Macao
N5gKbzbiDrcAAAFM6wofTpCu,https://fr.wikipedia.org/wiki/Sao_Tom%C3%A9-et-Principe
N5gKbzbiDrcAAAFM6wofTpCu,https://fr.wikipedia.org/wiki/Sao_Tom%C3%A9-et-Principe
QacKbzbivOgAAAFM5G0fTp_w,https://fr.wikipedia.org/wiki/Mad%C3%A8re
aSAKbzbiIU0AAAFM8lYfToMI,https://fr.wikipedia.org/wiki/Cap-Vert
oDUKbzbiJf8AAAFMWVsfToqR,https://fr.wikipedia.org/wiki/Guin%C3%A9e-Bissau
HykKbzbiZmkAAAFMP5xY_twg,https://fr.wikipedia.org/wiki/A%C3%A7ores
UA4KbzbiiywAAAFMO8BRkro7,https://fr.wikipedia.org/wiki/Empire_moghol
zhYKbzbi.U4AAAFMDpsfToSu,https://fr.wikipedia.org/wiki/Maldives
cW8KbzbidLgAAAFMzjwfToT4,https://fr.wikipedia.org/wiki/Land_(Allemagne)
rgQKbzbis1sAAAFMET0fToVi,https://fr.wikipedia.org/wiki/Allemagne
hGkKbzbijC0AAAFMi1FKksZ9,https://fr.wikipedia.org/wiki/Occupation_de_l%27Allemagne_apr%C3%A8s_la_Seconde_Guerre_mondiale
k9MKbzbieyIAAAFMtAUfToM9,https://fr.wikipedia.org/wiki/Troisi%C3%A8me_Reich
SSMKbzbiyJsAAAFMhJIfToHu,https://fr.wikipedia.org/wiki/%C3%89tats_pontificaux
eHsKbzbicAsAAAFMPbdY_tqP,https://fr.wikipedia.org/wiki/Angola
1lQKbzbiz2YAAAFMH18fTpPg,https://fr.wikipedia.org/wiki/R%C3%A9publique_d%C3%A9mocratique_allemande
QbIKbzbiYYwAAAFM0JofToUI,https://fr.wikipedia.org/wiki/Troisi%C3%A8me_R%C3%A9publique
GR0Kbzbi9QwAAAFMP_wfTo99,https://fr.wikipedia.org/wiki/Premier_Empire
BGMKbzbiU8MAAAFMf0BY_tpZ,https://fr.wikipedia.org/wiki/Premi%C3%A8re_R%C3%A9publique_fran%C3%A7aise
mC0KbzbiUUwAAAFMkiQfToLx,https://fr.wikipedia.org/wiki/Monarchie_de_Juillet
